,id,authors,title,tags,doc_type,publisher,venue_name,venue_ID,references
20,1688,"Altaf Hossain,Faisal Zaman,M. Nasser,M. Mufakhkharul Islam","Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction","Autoregressive–moving-average model,Computer science,Support vector machine,Neural network nn,Artificial intelligence,Financial time series prediction,Autoregressive conditional heteroskedasticity,Artificial neural network,Machine learning",Conference,"Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence,1136274694.0,2156909104.0
21,5411,"Rafael Álvarez,Leandro Tortosa,José-Francisco Vicent,Antonio Zamora",COMPARING GNG3D AND QUADRIC ERROR METRICS METHODS TO SIMPLIFY 3D MESHES,"Computer vision,Polygon mesh,Computer graphics (images),Computer science,Artificial intelligence,Quadric",Conference,,International Conference on Computer Graphics Theory and Applications,1136212596.0,
22,5781,"Jovan Dj. Golic,Guglielmo Morgari",Vectorial fast correlation attacks.,"Pattern recognition,Computer science,Artificial intelligence,Correlation attack",Repository,,IACR Cryptology ePrint Archive,2764847869.0,
23,6522,"Güzin Ulutas,Mustafa Ulutas,Vasif V. Nabiyev",Improved Secret Image Sharing Method By Encoding Shared Values With Authentication Bits,"Peak signal-to-noise ratio,Authentication,Secret sharing,Computer science,Computer network,Image sharing,Theoretical computer science,Verifiable secret sharing,Artificial intelligence,Steganography,Pattern recognition,Shamir's Secret Sharing,Homomorphic secret sharing",Conference,"Springer, London",International Symposium on Computer and Information Sciences,1125967516.0,2007942710.0
24,6522,"Güzin Ulutas,Mustafa Ulutas,Vasif V. Nabiyev",Improved Secret Image Sharing Method By Encoding Shared Values With Authentication Bits,"Peak signal-to-noise ratio,Authentication,Secret sharing,Computer science,Computer network,Image sharing,Theoretical computer science,Verifiable secret sharing,Artificial intelligence,Steganography,Pattern recognition,Shamir's Secret Sharing,Homomorphic secret sharing",Conference,"Springer, London",International Symposium on Computer and Information Sciences,1125967516.0,2040446335.0
25,6522,"Güzin Ulutas,Mustafa Ulutas,Vasif V. Nabiyev",Improved Secret Image Sharing Method By Encoding Shared Values With Authentication Bits,"Peak signal-to-noise ratio,Authentication,Secret sharing,Computer science,Computer network,Image sharing,Theoretical computer science,Verifiable secret sharing,Artificial intelligence,Steganography,Pattern recognition,Shamir's Secret Sharing,Homomorphic secret sharing",Conference,"Springer, London",International Symposium on Computer and Information Sciences,1125967516.0,2042901705.0
26,6522,"Güzin Ulutas,Mustafa Ulutas,Vasif V. Nabiyev",Improved Secret Image Sharing Method By Encoding Shared Values With Authentication Bits,"Peak signal-to-noise ratio,Authentication,Secret sharing,Computer science,Computer network,Image sharing,Theoretical computer science,Verifiable secret sharing,Artificial intelligence,Steganography,Pattern recognition,Shamir's Secret Sharing,Homomorphic secret sharing",Conference,"Springer, London",International Symposium on Computer and Information Sciences,1125967516.0,2138296484.0
27,6762,"Pranay Chaudhuri,Hussein Thompson",A Self-Stabilizing Algorithm for Finding the Cutting Center of a Tree.,"Computer science,Parallel computing",Conference,,Parallel and Distributed Processing Techniques and Applications,1196153040.0,
28,8373,Phan Cong Vinh,Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Ubiquitous commerce,Services computing,Data mining,Computational intelligence,Computer science,Formal development,Context awareness,Context-aware pervasive systems,Utility computing,Ubiquitous computing",Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems,1123338449.0,141500162.0
29,8373,Phan Cong Vinh,Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Ubiquitous commerce,Services computing,Data mining,Computational intelligence,Computer science,Formal development,Context awareness,Context-aware pervasive systems,Utility computing,Ubiquitous computing",Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems,1123338449.0,1977736041.0
30,8373,Phan Cong Vinh,Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Ubiquitous commerce,Services computing,Data mining,Computational intelligence,Computer science,Formal development,Context awareness,Context-aware pervasive systems,Utility computing,Ubiquitous computing",Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems,1123338449.0,2057072261.0
31,8373,Phan Cong Vinh,Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Ubiquitous commerce,Services computing,Data mining,Computational intelligence,Computer science,Formal development,Context awareness,Context-aware pervasive systems,Utility computing,Ubiquitous computing",Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems,1123338449.0,2495388083.0
32,8373,Phan Cong Vinh,Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Ubiquitous commerce,Services computing,Data mining,Computational intelligence,Computer science,Formal development,Context awareness,Context-aware pervasive systems,Utility computing,Ubiquitous computing",Conference,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems,1123338449.0,2612600896.0
33,8763,"Dominik Szajerman,Adam Jurczyński",Fur Visualisation for Computer Game Engines and Real-Time Rendering,"Computer graphics (images),Computer science,Visualization,Real-time rendering,Scheduling (production processes),Rendering (computer graphics)",Conference,"Springer, Cham",International Conference on Computer Vision and Graphics,1196868077.0,2002239941.0
34,8763,"Dominik Szajerman,Adam Jurczyński",Fur Visualisation for Computer Game Engines and Real-Time Rendering,"Computer graphics (images),Computer science,Visualization,Real-time rendering,Scheduling (production processes),Rendering (computer graphics)",Conference,"Springer, Cham",International Conference on Computer Vision and Graphics,1196868077.0,2062162286.0
35,8763,"Dominik Szajerman,Adam Jurczyński",Fur Visualisation for Computer Game Engines and Real-Time Rendering,"Computer graphics (images),Computer science,Visualization,Real-time rendering,Scheduling (production processes),Rendering (computer graphics)",Conference,"Springer, Cham",International Conference on Computer Vision and Graphics,1196868077.0,2114709034.0
36,9415,"Ankita Brahmachari,Priya Singh,Avdhesh Garg,Dipankar Das",Identifying Psychological Theme Words from Emotion Annotated Interviews,"Sadness,Rule-based system,Ranking,Disgust,Shame,Psychology,Keyword spotting,Graphical user interface,Anger,Natural language processing,Artificial intelligence",Conference,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration,2755612976.0,7678345.0
37,9415,"Ankita Brahmachari,Priya Singh,Avdhesh Garg,Dipankar Das",Identifying Psychological Theme Words from Emotion Annotated Interviews,"Sadness,Rule-based system,Ranking,Disgust,Shame,Psychology,Keyword spotting,Graphical user interface,Anger,Natural language processing,Artificial intelligence",Conference,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration,2755612976.0,2032031606.0
38,9415,"Ankita Brahmachari,Priya Singh,Avdhesh Garg,Dipankar Das",Identifying Psychological Theme Words from Emotion Annotated Interviews,"Sadness,Rule-based system,Ranking,Disgust,Shame,Psychology,Keyword spotting,Graphical user interface,Anger,Natural language processing,Artificial intelligence",Conference,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration,2755612976.0,2065586386.0
39,9415,"Ankita Brahmachari,Priya Singh,Avdhesh Garg,Dipankar Das",Identifying Psychological Theme Words from Emotion Annotated Interviews,"Sadness,Rule-based system,Ranking,Disgust,Shame,Psychology,Keyword spotting,Graphical user interface,Anger,Natural language processing,Artificial intelligence",Conference,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration,2755612976.0,2079521622.0
40,11068,"A. L. Islas,C. M. Schober",Multisymplectic Spectral Methods for the Gross-Pitaevskii Equation,"Gross–Pitaevskii equation,Hamiltonian (quantum mechanics),Mathematical analysis,Schrödinger equation,Periodic boundary conditions,Hamiltonian mechanics,Spectral method,Wave equation,Nonlinear Schrödinger equation,Mathematics",Conference,"Springer, Berlin, Heidelberg",International Conference on Computational Science,2706111989.0,
41,11796,Magnus Mähring,The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,"Corporate governance,Computer science,Public relations,Extant taxon",Conference,,Americas Conference on Information Systems,1171805742.0,130486177.0
42,11796,Magnus Mähring,The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,"Corporate governance,Computer science,Public relations,Extant taxon",Conference,,Americas Conference on Information Systems,1171805742.0,1526421749.0
43,11796,Magnus Mähring,The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,"Corporate governance,Computer science,Public relations,Extant taxon",Conference,,Americas Conference on Information Systems,1171805742.0,1539089137.0
